did,year,month,call_rate,m2
0,2006,1,3.74,1027697.4
1,2006,2,3.92,1034711.9
2,2006,3,3.97,1042293.6
3,2006,4,3.97,1048598.6
4,2006,5,3.96,1055855.4
5,2006,6,4.17,1072886.5
6,2006,7,4.21,1082577.5
7,2006,8,4.42,1084752.6
8,2006,9,4.47,1098444.2
9,2006,10,4.48,1110360.9
10,2006,11,4.47,1123714.6
11,2006,12,4.49,1138295.5
12,2007,1,4.63,1143814.9
13,2007,2,4.6,1154108.8
14,2007,3,4.6,1162429.3
15,2007,4,4.69,1165291.0
16,2007,5,4.61,1171148.4
17,2007,6,4.54,1190080.2
18,2007,7,4.67,1200892.7
19,2007,8,4.92,1208052.8
20,2007,9,4.98,1219265.1
21,2007,10,5.0,1229742.1
22,2007,11,5.0,1250790.1
23,2007,12,4.99,1269522.5
24,2008,1,4.99,1286407.8
25,2008,2,4.97,1309161.7
26,2008,3,4.97,1324032.7
27,2008,4,4.99,1339434.9
28,2008,5,4.97,1356612.9
29,2008,6,4.95,1369728.1
30,2008,7,4.98,1378914.3
31,2008,8,5.21,1386101.1
32,2008,9,5.21,1395719.2
33,2008,10,4.88,1403984.2
34,2008,11,4.0,1426165.1
35,2008,12,3.27,1436298.3
36,2009,1,2.43,1440275.8
37,2009,2,2.06,1457931.3
38,2009,3,1.77,1470443.1
39,2009,4,1.8,1482009.7
40,2009,5,1.91,1491542.7
41,2009,6,1.93,1501898.3
42,2009,7,1.93,1512822.5
43,2009,8,1.98,1524879.7
44,2009,9,1.99,1535279.8
45,2009,10,1.99,1551319.5
46,2009,11,2.0,1564175.8
47,2009,12,2.0,1570027.1
48,2010,1,2.0,1574215.8
49,2010,2,2.0,1595403.8
50,2010,3,2.01,1607896.1
51,2010,4,2.0,1621176.9
52,2010,5,2.01,1630904.7
53,2010,6,2.0,1647981.2
54,2010,7,2.21,1653057.5
55,2010,8,2.27,1653907.2
56,2010,9,2.27,1659400.1
57,2010,10,2.26,1669376.6
58,2010,11,2.37,1679909.9
59,2010,12,2.5,1682871.9
60,2011,1,2.66,1676448.8
61,2011,2,2.75,1674390.5
62,2011,3,2.92,1677475.9
63,2011,4,3.01,1684792.3
64,2011,5,3.02,1690543.0
65,2011,6,3.2,1697204.2
66,2011,7,3.26,1705451.5
67,2011,8,3.25,1719437.8
68,2011,9,3.25,1729531.1
69,2011,10,3.24,1742645.4
70,2011,11,3.26,1753296.4
71,2011,12,3.26,1756597.4
72,2012,1,3.26,1757058.7
73,2012,2,3.25,1762988.4
74,2012,3,3.25,1773172.9
75,2012,4,3.25,1777114.7
76,2012,5,3.26,1784220.5
77,2012,6,3.26,1796981.5
78,2012,7,3.08,1807289.2
79,2012,8,3.0,1817134.9
80,2012,9,2.99,1819290.1
81,2012,10,2.8,1822420.9
82,2012,11,2.75,1830280.3
83,2012,12,2.75,1835556.7
84,2013,1,2.76,1841128.1
85,2013,2,2.75,1857135.0
86,2013,3,2.74,1862405.5
87,2013,4,2.75,1867726.3
88,2013,5,2.55,1870289.7
89,2013,6,2.49,1884193.2
90,2013,7,2.48,1890728.6
91,2013,8,2.5,1888658.4
92,2013,9,2.5,1903187.1
93,2013,10,2.5,1908557.6
94,2013,11,2.5,1923339.2
95,2013,12,2.5,1932026.4
96,2014,1,2.5,1937045.6
97,2014,2,2.49,1954340.7
98,2014,3,2.48,1964954.0
99,2014,4,2.49,1970361.6
100,2014,5,2.49,1982390.9
101,2014,6,2.48,1999376.3
102,2014,7,2.49,2013935.1
103,2014,8,2.34,2031777.2
104,2014,9,2.23,2037600.8
105,2014,10,2.06,2051149.8
106,2014,11,1.98,2083253.5
107,2014,12,1.99,2088729.8
108,2015,1,1.99,2092223.5
109,2015,2,1.99,2109892.3
110,2015,3,1.82,2127887.8
111,2015,4,1.73,2148114.7
112,2015,5,1.74,2166741.1
113,2015,6,1.57,2179561.1
114,2015,7,1.48,2200510.9
115,2015,8,1.49,2218660.3
116,2015,9,1.48,2230000.7
117,2015,10,1.48,2232432.0
118,2015,11,1.49,2242848.2
119,2015,12,1.48,2246070.1
120,2016,1,1.49,2261356.4
121,2016,2,1.49,2285313.5
122,2016,3,1.49,2294544.7
123,2016,4,1.49,2299081.3
124,2016,5,1.49,2312801.2
125,2016,6,1.28,2334256.2
126,2016,7,1.23,2352245.1
127,2016,8,1.23,2377323.1
128,2016,9,1.24,2383040.5
129,2016,10,1.23,2391059.2
130,2016,11,1.23,2406393.5
131,2016,12,1.22,2414040.9
132,2017,1,1.24,2417807.6
133,2017,2,1.23,2420285.6
134,2017,3,1.23,2436994.7
135,2017,4,1.23,2450220.9
136,2017,5,1.23,2454386.7
137,2017,6,1.24,2470861.1
138,2017,7,1.24,2472110.4
139,2017,8,1.23,2485629.9
140,2017,9,1.25,2492388.2
141,2017,10,1.24,2504594.2
142,2017,11,1.26,2521786.3
143,2017,12,1.51,2527641.3
144,2018,1,1.49,2551196.0
145,2018,2,1.49,2570764.6
146,2018,3,1.49,2578361.8
147,2018,4,1.47,2590840.7
148,2018,5,1.5,2600274.3
149,2018,6,1.49,2622268.3
150,2018,7,1.49,2637421.8
151,2018,8,1.5,2651503.4
152,2018,9,1.54,2652829.5
153,2018,10,1.52,2674506.5
154,2018,11,1.51,2692974.8
155,2018,12,1.77,2699882.3
156,2019,1,1.75,2716722.0
157,2019,2,1.76,2730481.9
158,2019,3,1.76,2752723.9
159,2019,4,1.75,2763058.0
160,2019,5,1.75,2771633.0
161,2019,6,1.76,2799248.0
162,2019,7,1.63,2811543.7
163,2019,8,1.51,2832566.1
164,2019,9,1.52,2853272.0
165,2019,10,1.35,2874176.1
166,2019,11,1.28,2901465.4
167,2019,12,1.28,2912434.1
168,2020,1,1.27,2929009.2
169,2020,2,1.24,2954603.8
170,2020,3,0.98,2984304.3
171,2020,4,0.74,3015816.4
172,2020,5,0.7,3046050.5
173,2020,6,0.48,3077284.1
174,2020,7,0.48,3093300.1
175,2020,8,0.5,3100373.4
176,2020,9,0.48,3115238.9
177,2020,10,0.51,3152811.6
178,2020,11,0.49,3183500.9
179,2020,12,0.51,3197671.2
180,2021,1,0.49,3223486.7
181,2021,2,0.49,3271405.8
182,2021,3,0.49,3313182.2
183,2021,4,0.48,3358874.9
184,2021,5,0.48,3379753.9
185,2021,6,0.51,3413899.8
186,2021,7,0.53,3445243.0
187,2021,8,0.56,3487634.1
188,2021,9,0.77,3513680.6
189,2021,10,0.74,3543363.7
190,2021,11,0.796,3594723.2
191,2021,12,1.012,3620057.4
192,2022,1,1.188,3634342.4
193,2022,2,1.219,3656135.8
194,2022,3,1.244,3672133.4
195,2022,4,1.299,3676561.4
196,2022,5,1.505,3698958.0
197,2022,6,1.745,3721122.7
198,2022,7,1.971,3730448.8
199,2022,8,2.263,3749204.9
200,2022,9,2.533,3758122.4
201,2022,10,2.959,3770500.0
202,2022,11,3.096,3805856.0
203,2022,12,3.235,3800060.8
